"L","s","j","as_if","Lambda.1.2.","Lambda.1.3.","Lambda.2.1.","Lambda.2.3.","run"
1000,2,1,1,0.582913559248587,0.722306207930896,0.803290648662238,1.00671606623947,3
1000,3,1,0,0.91636751139198,0.919802933239496,0.853270945425908,0.844878533648859,3
1000,3,1,1,1.24940903954563,1.24940903954563,2.34967313419141,1.24940903954563,3
1000,6,1,0,0.519886984725665,0.686585179547882,1.09945731531565,0.810930216216329,3
1000,6,1,1,0.421860432432657,0.421860432432657,1.43279064864899,0.810930216216329,3
1000,1,2,0,0.973545420171079,1.50012671762531,0.900782045119573,0.648508814307648,3
1000,1,2,1,1.88120365251734,1.88120365251734,2.05867582695445,1.88120365251734,3
1000,2,2,0,1.0499424077209,1.43943679798829,0.876791681057204,0.620325268907572,3
1000,2,2,1,1.922387663532,1.922387663532,1.922387663532,2.10211333486904,3
1000,3,2,0,0.858744765163253,1.42359423250612,0.822399884306837,0.561921972830595,3
1000,3,2,1,0.894015815634132,1.17084610138339,3.3942085280195,1.38185753503962,3
1000,6,2,0,1.28852709909932,1.72276452918001,1.09945731531565,0.810930216216329,3
1000,6,2,1,1.62186043243266,1.62186043243266,2.09945731531565,1.62186043243266,3
1000,1,1,0,0.972000551600439,1.04818767642501,1.34283245952762,0.810910137260651,4
1000,1,1,1,2.5246979192921,1.79678754325025,1.79678754325025,1.79678754325025,4
1000,2,1,0,1.11125068123044,1.09846668667111,1.26097607451796,0.868200846067692,4
1000,2,1,1,2.42840432324073,2.42840432324073,3.29855206642678,2.58991670508807,4
1000,3,1,0,1.05728348252509,1.02209679021009,1.07813897086379,0.787241246615287,4
1000,3,1,1,1.18221547965691,1.4719605977474,1.64748735533215,1.18221547965691,4
1000,1,2,0,1.47839711004295,0.618674325504079,1.34373979334251,0.715714264673228,4
1000,1,2,1,1.06059171967551,1.52223243882506,2.119052711874,2.0076266452437,4
1000,2,2,0,1.5615936025878,0.655422077343085,1.25551713974539,0.657969524207752,4
1000,2,2,1,0.853492365971148,1.48025865014655,1.36239859133394,0.827316724919298,4
1000,3,2,0,1.75816079210304,0.605351630437992,1.43483126857149,0.507186885530489,4
1000,3,2,1,1.4787659687877,1.27202688423739,3.43900149704673,1.06329886218782,4
1000,6,2,0,1.45410306623291,0.857037771974593,0.89112398198232,0.824037641966338,4
1000,6,2,1,0.829230267100421,1.21639532432449,1.73279064864899,1.12403764196634,4
