"CUSIP","Security Type","Security Term","Auction Date","Issue Date","Maturity Date","Price per $100"
"912796ZG7","Bill","26-Week","11/28/2022","12/01/2022","06/01/2023","97.699722"
"912796ZA0","Bill","4-Week","11/23/2022","11/29/2022","12/27/2022","99.691222"
"912796ZL6","Bill","8-Week","11/23/2022","11/29/2022","01/24/2023","99.359111"
"912796Z85","Bill","17-Week","11/23/2022","11/29/2022","03/28/2023","98.545556"
"91282CFY2","Note","7-Year","11/22/2022","11/30/2022","11/30/2029","99.908851"
"91282CFS5","Note","1-Year 11-Month","11/22/2022","11/25/2022","10/31/2024","99.848062"
"91282CFX4","Note","2-Year","11/21/2022","11/30/2022","11/30/2024","99.990539"
"91282CFZ9","Note","5-Year","11/21/2022","11/30/2022","11/30/2027","99.555059"
"912796T33","Bill","13-Week","11/21/2022","11/25/2022","02/23/2023","98.945000"
"912796ZF9","Bill","26-Week","11/21/2022","11/25/2022","05/25/2023","97.727444"
"91282CEZ0","Note","9-Year 8-Month","11/17/2022","11/30/2022","07/15/2032","94.294626"
"912796X61","Bill","16-Day","11/17/2022","11/22/2022","12/08/2022","99.831111"
"912796YZ6","Bill","4-Week","11/17/2022","11/22/2022","12/20/2022","99.704833"
"912796ZK8","Bill","8-Week","11/17/2022","11/22/2022","01/17/2023","99.374667"
"912810TM0","Bond","20-Year","11/16/2022","11/30/2022","11/15/2042","99.019661"
"912796Z77","Bill","17-Week","11/16/2022","11/22/2022","03/21/2023","98.572000"
"912796YA1","Bill","13-Week","11/14/2022","11/17/2022","02/16/2023","98.949708"
"912796W47","Bill","26-Week","11/14/2022","11/17/2022","05/18/2023","97.755333"
"912796YY9","Bill","4-Week","11/10/2022","11/15/2022","12/13/2022","99.721556"
"912796ZJ1","Bill","8-Week","11/10/2022","11/15/2022","01/10/2023","99.401111"
"912810TL2","Bond","30-Year","11/10/2022","11/15/2022","11/15/2052","98.622933"
"912796Z69","Bill","17-Week","11/09/2022","11/15/2022","03/14/2023","98.578611"
"91282CFV8","Note","10-Year","11/09/2022","11/15/2022","11/15/2032","99.878189"
"91282CFW6","Note","3-Year","11/08/2022","11/15/2022","11/15/2025","99.708904"
"912796XZ7","Bill","13-Week","11/07/2022","11/10/2022","02/09/2023","98.958556"
"912796ZE2","Bill","26-Week","11/07/2022","11/10/2022","05/11/2023","97.730056"
"912796YX1","Bill","4-Week","11/03/2022","11/08/2022","12/06/2022","99.718444"
"912796ZH5","Bill","8-Week","11/03/2022","11/08/2022","01/03/2023","99.396444"
"912796Y86","Bill","17-Week","11/02/2022","11/08/2022","03/07/2023","98.585222"
"912796YT0","Bill","52-Week","11/01/2022","11/03/2022","11/02/2023","95.444944"
"912796XT1","Bill","13-Week","10/31/2022","11/03/2022","02/02/2023","98.971194"
"912796YW3","Bill","26-Week","10/31/2022","11/03/2022","05/04/2023","97.755333"
"912796YS2","Bill","4-Week","10/27/2022","11/01/2022","11/29/2022","99.720000"
"912796ZA0","Bill","8-Week","10/27/2022","11/01/2022","12/27/2022","99.405778"
"91282CFT3","Note","7-Year","10/27/2022","10/31/2022","10/31/2029","99.836721"
"912796Y78","Bill","17-Week","10/26/2022","11/01/2022","02/28/2023","98.618278"
"91282CFS5","Note","2-Year","10/26/2022","10/31/2022","10/31/2024","100.000000"
"91282CFU0","Note","5-Year","10/26/2022","10/31/2022","10/31/2027","99.700589"
"91282CFQ9","Note","2-Year","10/25/2022","10/31/2022","10/31/2024","99.839071"
"912796S34","Bill","13-Week","10/24/2022","10/27/2022","01/26/2023","98.988889"
